name,team,GW,predicted_clean_sheets
Bart Verbruggen,Brighton,25,0.6
Adam Webster,Brighton,25,0.6
Joël Veltman,Brighton,25,0.6
Amadou Onana,Aston Villa,25,0.6
Pervis Estupiñán,Brighton,25,0.6
Mitoma Kaoru,Brighton,25,0.6
Simon Adingra,Brighton,25,0.6
Yasin Ayari,Brighton,25,0.6
Jacob Ramsey,Aston Villa,25,0.6
Ollie Watkins,Aston Villa,25,0.599187723678481
Tyrone Mings,Aston Villa,25,0.5975686657398688
Lucas Digne,Aston Villa,25,0.5951305444504605
Youri Tielemans,Aston Villa,25,0.5903572707936595
Morgan Rogers,Aston Villa,25,0.5898292495346985
João Pedro Junqueira de Jesus,Brighton,25,0.5880115680928887
Emiliano Martínez Romero,Aston Villa,25,0.5879077054325383
Matt O'Riley,Brighton,25,0.5858424274579352
Matty Cash,Aston Villa,25,0.5836796049273322
Carlos Baleba,Brighton,25,0.5826260224539613
Mateo Kovačić,Man City,25,0.5799475475593195
Jan Paul van Hecke,Brighton,25,0.5773726534919256
Boubacar Kamara,Aston Villa,25,0.5765923639098398
Ezri Konsa Ngoyo,Aston Villa,25,0.5701052300886723
Will Hughes,Crystal Palace,25,0.47977690527728867
Eberechi Eze,Crystal Palace,25,0.4793799544589671
Martin Dúbravka,Newcastle,25,0.4746541448850725
Ismaïla Sarr,Crystal Palace,25,0.47429074797950144
Maxence Lacroix,Crystal Palace,25,0.46856201501632183
Daniel Muñoz,Crystal Palace,25,0.46591045005099435
Chris Richards,Crystal Palace,25,0.46168182170330785
Lewis Hall,Newcastle,25,0.4600893792120052
Jean-Philippe Mateta,Crystal Palace,25,0.4579889616729285
Anthony Gordon,Newcastle,25,0.4545344576894234
Dan Burn,Newcastle,25,0.4540421649157852
Sven Botman,Newcastle,25,0.4538696454837681
Bruno Guimarães Rodriguez Moura,Newcastle,25,0.45278647286115503
Sandro Tonali,Newcastle,25,0.446188943736165
Alexander Isak,Newcastle,25,0.442248898361291
Cheick Doucouré,Crystal Palace,25,0.4376723560520494
Marc Guéhi,Crystal Palace,25,0.4371925368452244
Joelinton Cássio Apolinário de Lira,Newcastle,25,0.4358621445049946
Tyrick Mitchell,Crystal Palace,25,0.4305631136228486
Jacob Murphy,Newcastle,25,0.4295995989759647
Tino Livramento,Newcastle,25,0.4218532957366219
Dean Henderson,Crystal Palace,25,0.42146807036948103
Erling Haaland,Man City,25,0.3790333780847831
Nathan Butler-Oyedeji,Arsenal,25,0.3789439147482707
Mohamed Salah,Liverpool,25,0.37844244409014427
Álex Moreno Lopera,Aston Villa,25,0.3783595658577125
James Milner,Brighton,25,0.3782671924080446
Solly March,Brighton,25,0.3782325142940416
Jacob Slater,Brighton,25,0.3779106242382481
Benicio Baker-Boaitey,Brighton,25,0.37750471999222973
Ilkay Gündogan,Man City,25,0.3774327349904524
William Saliba,Arsenal,25,0.3770913184615536
Sepp van den Berg,Liverpool,25,0.37652386934490617
