name,team,GW,predicted_assists
Sávio 'Savinho' Moreira de Oliveira,Man City,31,0.5043339312734801
Kevin De Bruyne,Man City,31,0.5022402686071964
Mohamed Salah,Liverpool,31,0.41241507774790226
Curtis Jones,Liverpool,31,0.3999372739123299
Diogo Teixeira da Silva,Liverpool,31,0.3897870235909867
Antoine Semenyo,Bournemouth,31,0.3627994111313332
Dango Ouattara,Bournemouth,31,0.35283830769365965
Harry Wilson,Fulham,31,0.34884111751121594
Jacob Murphy,Newcastle,31,0.3268846264051896
Bruno Borges Fernandes,Man Utd,31,0.32596338380335216
Bruno Guimarães Rodriguez Moura,Newcastle,31,0.3257483349536353
Jarrod Bowen,West Ham,31,0.32383821980288846
Anthony Gordon,Newcastle,31,0.3227054970757014
Marcus Rashford,Man Utd,31,0.2933427277186321
Dejan Kulusevski,Spurs,31,0.2875576791801041
Harvey Barnes,Newcastle,31,0.2858379786126428
Brennan Johnson,Spurs,31,0.2794154069962904
Ismaïla Sarr,Crystal Palace,31,0.2776130824222153
Mikkel Damsgaard,Brentford,31,0.2615266361380486
Kevin Schade,Brentford,31,0.2601209672550879
Morgan Rogers,Aston Villa,31,0.25621910360481087
Anthony Elanga,Nott'm Forest,31,0.2532864022709883
Nicolas Jackson,Chelsea,31,0.24644801742024333
Dominic Solanke-Mitchell,Spurs,31,0.24577928448087188
Yoane Wissa,Brentford,31,0.21453812555345747
Ollie Watkins,Aston Villa,31,0.2060947630216331
Trent Alexander-Arnold,Liverpool,31,0.2003883216256633
Jamie Vardy,Leicester,31,0.1947122261295279
Antonee Robinson,Fulham,31,0.19294590980152806
João Pedro Junqueira de Jesus,Brighton,31,0.18357230899048724
Bryan Mbeumo,Brentford,31,0.1759449517474081
Milos Kerkez,Bournemouth,31,0.17426294532812456
Liam Delap,Ipswich,31,0.17338203655203074
Gabriel dos Santos Magalhães,Arsenal,31,0.1725429954228388
Andrew Robertson,Liverpool,31,0.1699916298606747
Matheus Santos Carneiro Da Cunha,Wolves,31,0.1664722643889901
Jurriën Timber,Arsenal,31,0.16632598595542195
Lewis Hall,Newcastle,31,0.1661528481610649
Aaron Wan-Bissaka,West Ham,31,0.15854997767720697
Diogo Dalot Teixeira,Man Utd,31,0.15017145326801887
Alexander Isak,Newcastle,31,0.1498871846651489
Dean Huijsen,Bournemouth,31,0.1488490998281215
Tyrick Mitchell,Crystal Palace,31,0.14425263872660063
Pedro Porro,Spurs,31,0.1434213774246677
Illia Zabarnyi,Bournemouth,31,0.13317300405281005
Maxence Lacroix,Crystal Palace,31,0.13316400749150661
Vitalii Mykolenko,Everton,31,0.12967015137341123
Lucas Digne,Aston Villa,31,0.12822335560571915
Marc Guéhi,Crystal Palace,31,0.12810706551580614
Neco Williams,Nott'm Forest,31,0.12751580391900955
Dan Burn,Newcastle,31,0.1267882371382221
Daniel Muñoz,Crystal Palace,31,0.12463250909729386
Fabian Schär,Newcastle,31,0.11898167695938831
Nathan Collins,Brentford,31,0.11611780684358218
James Tarkowski,Everton,31,0.11295294984664399
Rayan Aït-Nouri,Wolves,31,0.10501907361906072
Trevoh Chalobah,Crystal Palace,31,0.098288164391139
Chris Wood,Nott'm Forest,31,0.03987130545120177
Cody Gakpo,Liverpool,31,0.012552406554494935
Nélson Cabral Semedo,Wolves,31,0.009952696458383778
Ollie Scarles,West Ham,31,0.009906818888744328
Emerson Leite de Souza Junior,Spurs,31,0.009879612009427984
Virgil van Dijk,Liverpool,31,0.009862156793705184
Juan Larios López,Southampton,31,0.009854090410582885
Harvey Davies,Liverpool,31,0.009821701320945802
Marc Cucurella Saseta,Chelsea,31,0.009753596350176084
Michael Keane,Everton,31,0.009666524154414194
Asher Agbinone,Crystal Palace,31,0.009658638575127583
Harry Winks,Leicester,31,0.009649341996740083
Jahmai Simpson-Pusey,Man City,31,0.009618339627072014
Leny Yoro,Man Utd,31,0.009611864753996195
Manor Solomon,Spurs,31,0.009589731948171377
Rodrigo 'Rodri' Hernandez,Man City,31,0.009584197274265455
Kaine Kesler-Hayden,Aston Villa,31,0.009577681359955232
Alisson Ramses Becker,Liverpool,31,0.009565077621975502
Maldini Kacurri,Arsenal,31,0.009559798805878943
Pedro Lomba Neto,Chelsea,31,0.009472982869514502
Jorge Cuenca Barreno,Fulham,31,0.00945973979389699
Jonathan Panzo,Nott'm Forest,31,0.009447028127436167
Lucas Tolentino Coelho de Lima,West Ham,31,0.009440365300980856
Ibrahim Sangaré,Nott'm Forest,31,0.009433420507657433
