name,team,minutes,expected_goals_conceded,saves,selected,bps,influence,creativity,position_DEF,position_FWD,position_GK,position_MID,GW,predicted_clean_sheets
Aaron Cresswell,West Ham,2.8095238095238093,0.10904761904761905,0.0,179178.2380952381,1.0476190476190477,0.7523809523809524,1.9,1.0,0.0,0.0,0.0,25,0.0
Aaron Hickey,Brentford,0.0,0.0,0.0,1653.3333333333333,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25,0.0
Aaron Ramsdale,Arsenal,0.0,0.0,0.0,71648.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,25,0.0
Aaron Ramsdale,Southampton,66.3157894736842,1.7299999999999998,3.210526315789474,184094.15789473685,8.631578947368421,23.273684210526316,0.0,0.0,0.0,1.0,0.0,25,0.01
Aaron Wan-Bissaka,West Ham,81.61904761904762,1.6800000000000002,0.0,358256.85714285716,11.0,19.64761904761905,13.252380952380953,1.0,0.0,0.0,0.0,25,0.0
Abdoulaye Doucouré,Everton,71.2,1.113,0.0,25656.4,7.5,6.790000000000001,10.965,0.0,0.0,0.0,1.0,25,0.28
Abdul Fatawu,Leicester,27.428571428571427,0.5238095238095238,0.0,37365.142857142855,5.9523809523809526,7.0285714285714285,4.966666666666667,0.0,0.0,0.0,1.0,25,0.0
Adam Armstrong,Southampton,53.80952380952381,1.429047619047619,0.0,102982.61904761905,6.619047619047619,7.190476190476191,6.661904761904762,0.0,1.0,0.0,0.0,25,0.0
Adam Lallana,Southampton,15.333333333333334,0.3219047619047619,0.0,3034.6666666666665,3.1904761904761907,3.6952380952380954,3.9000000000000004,0.0,0.0,0.0,1.0,25,0.0
Adam Smith,Bournemouth,49.142857142857146,0.5957142857142858,0.0,20750.619047619046,4.428571428571429,5.533333333333333,2.961904761904762,1.0,0.0,0.0,0.0,25,0.0
Adam Webster,Brighton,7.809523809523809,0.21000000000000002,0.0,8128.333333333333,1.9047619047619047,2.1523809523809527,0.20952380952380953,1.0,0.0,0.0,0.0,25,0.0
Adam Wharton,Crystal Palace,29.571428571428573,0.4471428571428572,0.0,27508.714285714286,4.9523809523809526,5.3619047619047615,6.257142857142857,0.0,0.0,0.0,1.0,25,0.0
Adama Traoré,Fulham,45.476190476190474,0.5995238095238096,0.0,266858.5714285714,9.761904761904763,9.6,17.03333333333333,0.0,0.0,0.0,1.0,25,0.0
Adrian Mazilu,Brighton,0.0,0.0,0.0,2044.7619047619048,0.0,0.0,0.0,0.0,0.0,0.0,1.0,25,0.0
Alejandro Garnacho,Man Utd,53.19047619047619,0.9528571428571427,0.0,1002348.1904761905,8.952380952380953,11.333333333333334,12.104761904761904,0.0,0.0,0.0,1.0,25,0.0
Alejo Véliz,Spurs,0.0,0.0,0.0,718.2857142857143,0.0,0.0,0.0,0.0,1.0,0.0,0.0,25,0.0
Alex Iwobi,Fulham,86.0,1.1257142857142857,0.0,331246.5238095238,21.61904761904762,25.933333333333334,28.75238095238095,0.0,0.0,0.0,1.0,25,0.2
Alex McCarthy,Southampton,17.142857142857142,0.3947619047619047,0.9047619047619048,17820.666666666668,1.1904761904761905,6.0285714285714285,0.0,0.0,0.0,1.0,0.0,25,0.0
Alex Mighten,Nott'm Forest,0.0,0.0,0.0,2293.5238095238096,0.0,0.0,0.0,0.0,0.0,0.0,1.0,25,0.0
Alex Murphy,Newcastle,0.0,0.0,0.0,91883.90476190476,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25,0.0
Alex Paulsen,Bournemouth,0.0,0.0,0.0,3172.3809523809523,0.0,0.0,0.0,0.0,0.0,1.0,0.0,25,0.0
Alex Scott,Bournemouth,12.285714285714286,0.17476190476190476,0.0,4020.3333333333335,2.5714285714285716,3.380952380952381,3.119047619047619,0.0,0.0,0.0,1.0,25,0.0
Alexander Isak,Newcastle,73.42857142857143,0.970952380952381,0.0,3239207.1428571427,26.61904761904762,33.333333333333336,19.68095238095238,0.0,1.0,0.0,0.0,25,0.49
Alexis Mac Allister,Liverpool,70.55,0.6285000000000001,0.0,178781.05,14.3,15.12,18.5,0.0,0.0,0.0,1.0,25,0.56
Alfie Devine,Spurs,0.0,0.0,0.0,7546.809523809524,0.0,0.0,0.0,0.0,0.0,0.0,1.0,25,0.0
Alfie Dorrington,Spurs,2.1666666666666665,0.006666666666666667,0.0,711.0,0.6666666666666666,0.16666666666666666,0.03333333333333333,1.0,0.0,0.0,0.0,25,0.0
Alfie Gilchrist,Chelsea,0.0,0.0,0.0,4878.761904761905,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25,0.0
Alfie Pond,Wolves,0.0625,0.0,0.0,45040.875,0.1875,0.0,0.0,1.0,0.0,0.0,0.0,25,0.0
Alfie Whiteman,Spurs,0.0,0.0,0.0,151034.33333333334,0.0,0.0,0.0,0.0,0.0,1.0,0.0,25,0.0
Ali Al-Hamadi,Ipswich,5.9523809523809526,0.18285714285714286,0.0,35063.0,0.7142857142857143,0.26666666666666666,1.2238095238095237,0.0,1.0,0.0,0.0,25,0.0
Alisson Ramses Becker,Liverpool,53.4,0.4135,1.15,805465.15,9.3,10.09,0.65,0.0,0.0,1.0,0.0,25,0.0
Alphonse Areola,West Ham,43.285714285714285,0.8371428571428571,1.619047619047619,646079.7619047619,3.5714285714285716,12.495238095238093,0.0,0.0,0.0,1.0,0.0,25,0.0
Altay Bayindir,Man Utd,0.0,0.0,0.0,9789.047619047618,0.0,0.0,0.0,0.0,0.0,1.0,0.0,25,0.0
Amad Diallo,Man Utd,62.904761904761905,1.0595238095238095,0.0,764934.0952380953,20.0,22.97142857142857,20.076190476190476,0.0,0.0,0.0,1.0,25,0.33
Amadou Onana,Aston Villa,47.476190476190474,0.8104761904761905,0.0,547557.0,8.666666666666666,10.0,3.947619047619048,0.0,0.0,0.0,1.0,25,0.0
Amara Nallo,Liverpool,0.0,0.0,0.0,513.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25,0.0
Amario Cozier-Duberry,Brighton,0.0,0.0,0.0,5411.619047619048,0.0,0.0,0.0,0.0,0.0,0.0,1.0,25,0.0
Andreas Hoelgebaum Pereira,Fulham,59.19047619047619,0.7280952380952381,0.0,185980.7142857143,10.952380952380953,10.114285714285714,26.214285714285715,0.0,0.0,0.0,1.0,25,0.0
Andrew Moran,Brighton,0.0,0.0,0.0,353.1904761904762,0.0,0.0,0.0,0.0,0.0,0.0,1.0,25,0.0
Andrew Omobamidele,Nott'm Forest,0.0,0.0,0.0,5874.857142857143,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25,0.0
Andrew Robertson,Liverpool,72.15,0.7375,0.0,598917.0,13.1,11.870000000000001,20.925,1.0,0.0,0.0,0.0,25,0.0
Andrey Nascimento dos Santos,Chelsea,0.0,0.0,0.0,408.23809523809524,0.0,0.0,0.0,0.0,0.0,0.0,1.0,25,0.0
André Onana,Man Utd,90.0,1.5076190476190476,2.6666666666666665,814338.619047619,13.666666666666666,22.65714285714286,0.6190476190476191,0.0,0.0,1.0,0.0,25,0.02
