name,team,GW,predicted_goals
Mohamed Salah,Liverpool,30,1.01
Erling Haaland,Man City,30,0.99
Alexander Isak,Newcastle,30,0.95
Cole Palmer,Chelsea,30,0.95
Bryan Mbeumo,Brentford,30,0.57
James Maddison,Spurs,30,0.54
Bukayo Saka,Arsenal,30,0.42
Amad Diallo,Man Utd,30,0.41
Nicolas Jackson,Chelsea,30,0.31
Matheus Santos Carneiro Da Cunha,Wolves,30,0.28
Luis Díaz,Liverpool,30,0.27
Bruno Borges Fernandes,Man Utd,30,0.24
Alex Iwobi,Fulham,30,0.23
Anthony Gordon,Newcastle,30,0.21
Ollie Watkins,Aston Villa,30,0.19
Chris Wood,Nott'm Forest,30,0.18
Francisco Evanilson de Lima Barbosa,Bournemouth,30,0.14
Yoane Wissa,Brentford,30,0.14
Raúl Jiménez,Fulham,30,0.13
Son Heung-min,Spurs,30,0.13
Dominic Solanke-Mitchell,Spurs,30,0.12
Sávio 'Savinho' Moreira de Oliveira,Man City,30,0.08
Noni Madueke,Chelsea,30,0.07
Odsonne Edouard,Crystal Palace,30,0.06
Antoine Semenyo,Bournemouth,30,0.06
Jørgen Strand Larsen,Wolves,30,0.06
Liam Delap,Ipswich,30,0.06
Dejan Kulusevski,Spurs,30,0.05
Bernardo Veiga de Carvalho e Silva,Man City,30,0.05
João Pedro Junqueira de Jesus,Brighton,30,0.05
Justin Kluivert,Bournemouth,30,0.05
Leandro Trossard,Arsenal,30,0.04
Mitoma Kaoru,Brighton,30,0.03
Alejandro Garnacho,Man Utd,30,0.03
Jarrod Bowen,West Ham,30,0.03
Jamie Vardy,Leicester,30,0.03
Eberechi Eze,Crystal Palace,30,0.03
Curtis Jones,Liverpool,30,0.03
Morgan Gibbs-White,Nott'm Forest,30,0.02
Morgan Rogers,Aston Villa,30,0.02
Ismaïla Sarr,Crystal Palace,30,0.02
Dominic Calvert-Lewin,Everton,30,0.02
Jean-Philippe Mateta,Crystal Palace,30,0.02
Joško Gvardiol,Man City,30,0.01
Joelinton Cássio Apolinário de Lira,Newcastle,30,0.01
Nikola Milenković,Nott'm Forest,30,0.01
Declan Rice,Arsenal,30,0.01
Cody Gakpo,Liverpool,30,0.01
Thomas Partey,Arsenal,30,0.01
Tomáš Souček,West Ham,30,0.01
