name,team,minutes,xP,influence,ict_index,threat,creativity,bps,expected_goal_involvements,transfers_in,position_DEF,position_FWD,position_GK,position_MID,GW,predicted_total_points
Aaron Cresswell,West Ham,2.8095238095238093,0.1523809523809524,0.7523809523809524,0.27142857142857146,0.047619047619047616,1.9,1.0476190476190477,0.006190476190476191,5934.571428571428,1.0,0.0,0.0,0.0,25,0.54
Aaron Hickey,Brentford,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.38095238095238,1.0,0.0,0.0,0.0,25,0.0
Aaron Ramsdale,Arsenal,0.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,1189.0,0.0,0.0,1.0,0.0,25,0.0
Aaron Ramsdale,Southampton,66.3157894736842,1.3736842105263158,23.273684210526316,2.331578947368421,0.0,0.0,8.631578947368421,0.0010526315789473684,14869.631578947368,0.0,0.0,1.0,0.0,25,1.82
Aaron Wan-Bissaka,West Ham,81.61904761904762,3.0428571428571427,19.64761904761905,3.7904761904761903,5.0,13.252380952380953,11.0,0.11285714285714286,37666.666666666664,1.0,0.0,0.0,0.0,25,1.81
Abdoulaye Doucouré,Everton,71.2,1.9300000000000002,6.790000000000001,2.2600000000000002,4.9,10.965,7.5,0.0735,1165.7,0.0,0.0,0.0,1.0,25,2.11
Abdul Fatawu,Leicester,27.428571428571427,1.0476190476190477,7.0285714285714285,1.9095238095238096,7.0476190476190474,4.966666666666667,5.9523809523809526,0.08714285714285715,3278.190476190476,0.0,0.0,0.0,1.0,25,1.0
Adam Armstrong,Southampton,53.80952380952381,1.538095238095238,7.190476190476191,2.5476190476190474,11.619047619047619,6.661904761904762,6.619047619047619,0.17904761904761907,11769.238095238095,0.0,1.0,0.0,0.0,25,0.99
Adam Lallana,Southampton,15.333333333333334,-0.004761904761904763,3.6952380952380954,0.8571428571428571,1.0,3.9000000000000004,3.1904761904761907,0.03,158.57142857142858,0.0,0.0,0.0,1.0,25,1.0
Adam Smith,Bournemouth,49.142857142857146,1.4952380952380953,5.533333333333333,0.8857142857142858,0.38095238095238093,2.961904761904762,4.428571428571429,0.03333333333333334,1309.2380952380952,1.0,0.0,0.0,0.0,25,0.99
Adam Webster,Brighton,7.809523809523809,0.15714285714285714,2.1523809523809527,0.3238095238095238,0.9047619047619048,0.20952380952380953,1.9047619047619047,0.003333333333333333,164.14285714285714,1.0,0.0,0.0,0.0,25,1.0
Adam Wharton,Crystal Palace,29.571428571428573,0.6904761904761905,5.3619047619047615,1.4142857142857141,2.5238095238095237,6.257142857142857,4.9523809523809526,0.039047619047619046,893.0952380952381,0.0,0.0,0.0,1.0,25,1.0
Adama Traoré,Fulham,45.476190476190474,2.1904761904761907,9.6,3.9666666666666663,12.952380952380953,17.03333333333333,9.761904761904763,0.27285714285714285,36102.76190476191,0.0,0.0,0.0,1.0,25,0.79
Adrian Mazilu,Brighton,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,34.285714285714285,0.0,0.0,0.0,1.0,25,0.0
