name,team,position,value,predicted_goals
Bukayo Saka,0,3,90,2.0
Erling Haaland,12,1,143,2.0
Conor Gallagher,6,3,54,2.0
Rodrigo Muniz Carvalho,9,1,44,2.0
Bruno Guimarães Rodriguez Moura,14,3,58,2.0
Declan Rice,0,3,54,1.0
Cameron Archer,16,1,43,1.0
Bobby De Cordova-Reid,9,3,53,1.0
Dara O'Shea,5,0,44,1.0
Douglas Luiz Soares de Paulo,1,3,55,1.0
Rasmus Højlund,13,1,70,1.0
Scott McTominay,13,3,46,1.0
Luis Díaz,10,3,74,1.0
Fabian Schär,14,0,53,1.0
William Saliba,0,0,56,1.0
James McAtee,16,3,44,1.0
Ivan Toney,3,1,81,1.0
Diogo Teixeira da Silva,10,3,82,1.0
Carlton Morris,11,1,50,1.0
Marcos Senesi,2,0,45,1.0
Darwin Núñez Ribeiro,10,1,75,1.0
Brennan Johnson,17,3,58,1.0
Leandro Trossard,0,3,65,1.0
Christian Nørgaard,3,3,53,1.0
Callum Hudson-Odoi,15,3,47,1.0
Jefferson Lerma Solís,7,3,47,1.0
Gabriel dos Santos Magalhães,0,0,50,1.0
Vini de Souza Costa,16,3,50,1.0
Enzo Fernández,6,3,48,1.0
Anthony Elanga,15,3,51,1.0
Pape Matar Sarr,17,3,44,1.0
Pascal Groß,4,3,64,1.0
Tom Davies,16,3,50,0.0
Charles Sagoe,0,3,45,0.0
Ethan Pinnock,3,0,46,0.0
Jay Stansfield,9,1,45,0.0
Matz Sels,15,2,45,0.0
Daniel Castelo Podence,19,3,53,0.0
Ryan Yates,15,3,48,0.0
Nicolò Zaniolo,1,3,54,0.0
Oliver McBurnie,16,1,54,0.0
Frank Onyeka,3,3,49,0.0
Naouirou Ahamada,7,3,43,0.0
Philip Billing,2,3,52,0.0
Gabriel Słonina,6,2,40,0.0
Marc Guéhi,7,0,44,0.0
Seamus Coleman,8,0,44,0.0
Dejan Kulusevski,17,3,69,0.0
Siriki Dembélé,2,3,45,0.0
Matthew Dibley-Dias,9,3,45,0.0
Antwoine Hackford,16,1,44,0.0
Eberechi Eze,7,3,60,0.0
Maxime Esteve,5,0,40,0.0
Valintino Adedokun,3,0,40,0.0
Mackenzie Hunt,8,3,45,0.0
Amari'i Bell,11,0,39,0.0
Dele Alli,8,3,48,0.0
Noni Madueke,6,3,53,0.0
Milos Kerkez,2,0,44,0.0
Ty Barnett,19,3,45,0.0
Luke Berry,11,3,46,0.0
Kortney Hause,1,0,39,0.0
Thilo Kehrer,18,0,42,0.0
Will Hughes,7,3,49,0.0
Alexander Isak,14,1,75,0.0
John-Kymani Gordon,7,1,45,0.0
Cheikhou Kouyaté,15,3,48,0.0
Jonjo Shelvey,15,3,48,0.0
Cédric Alves Soares,0,0,39,0.0
Pierre-Emerick Aubameyang,6,1,65,0.0
Garang Kuol,14,3,45,0.0
Radu Dragusin,17,0,44,0.0
Mykhailo Mudryk,6,3,63,0.0
Willy Kambwala,13,0,39,0.0
Roméo Lavia,6,3,49,0.0
Fred Onyedinma,11,3,50,0.0
Ryan Fredericks,2,0,43,0.0
Gustavo Henrique Furtado Scarpa,15,3,45,0.0
Wesley Fofana,6,0,44,0.0
Aaron Hickey,3,0,44,0.0
Mads Bidstrup,3,3,45,0.0
Solly March,4,3,61,0.0
David Datro Fofana,5,1,50,0.0
Joe Hugill,13,1,45,0.0
Kacper Kozłowski,4,3,45,0.0
Joe Rothwell,2,3,48,0.0
Matt Macey,11,2,40,0.0
Ben Doak,10,3,43,0.0
Sander Berge,5,3,47,0.0
Mathias Jensen,3,3,54,0.0
Fabio Henrique Tavares,10,3,50,0.0
Louie Marsh,16,1,45,0.0
Max Kilman,19,0,45,0.0
Lewis Miley,14,3,45,0.0
Jack Cork,5,3,48,0.0
Yasin Ayari,4,3,45,0.0
Anthony Martial,13,1,64,0.0
Oliwier Zych,1,2,40,0.0
Elliot Anderson,14,3,42,0.0
Danny Welbeck,4,1,57,0.0
Deivid Washington de Souza Eugênio,6,1,45,0.0
Carlos Vinícius Alves Morais,9,1,45,0.0
Olu Aina,15,0,45,0.0
Conor Bradley,10,0,41,0.0
Lewis Hall,14,0,43,0.0
Rodrigo Hernandez,12,3,56,0.0
Benjamin Fredrick,3,0,40,0.0
Daniel Muñoz,7,0,45,0.0
Malo Gusto,6,0,42,0.0
Kevin De Bruyne,12,3,108,0.0
George Shelvey,15,2,39,0.0
Nathan Aké,12,0,50,0.0
Lucas Bergström,6,2,39,0.0
Victor Lindelöf,13,0,45,0.0
Femi Seriki,16,0,39,0.0
Bendegúz Bolla,19,0,40,0.0
Hamed Traorè,2,3,47,0.0
Callum Wilson,14,1,78,0.0
Allan Saint-Maximin,14,3,60,0.0
Lewis Orford,18,3,45,0.0
Han-Noah Massengo,5,3,49,0.0
Zeki Amdouni,5,1,53,0.0
Steven Alzate,4,3,44,0.0
Jóhann Berg Gudmundsson,5,3,48,0.0
Tim Krul,11,2,44,0.0
Keinan Davis,1,1,49,0.0
Bruno Borges Fernandes,13,3,82,0.0
Jeremy Sarmiento Morante,4,3,45,0.0
Lewis Cook,2,3,50,0.0
Issa Kaboré,11,0,40,0.0
Sam Surridge,15,1,45,0.0
Reece Burke,11,0,40,0.0
Jesurun Rak-Sakyi,7,3,45,0.0
Clément Lenglet,1,0,45,0.0
Gabriel Fernando de Jesus,0,1,79,0.0
Hannes Delcroix,5,0,40,0.0
Eric Dier,17,0,42,0.0
Kaide Gordon,10,3,45,0.0
Joel Ward,7,0,45,0.0
Tyrese Francois,9,3,44,0.0
Oleksandr Zinchenko,0,0,52,0.0
Bashir Humphreys,6,0,40,0.0
Josh Bowler,15,3,45,0.0
Mads Roerslev Rasmussen,3,0,44,0.0
Calvin Bassey,9,0,44,0.0
James Ward-Prowse,18,3,60,0.0
Konstantinos Tsimikas,10,0,45,0.0
Mahmoud Dahoud,4,3,48,0.0
Ian Maatsen,6,3,51,0.0
Ryan Gravenberch,10,3,50,0.0
Sofyan Amrabat,13,3,50,0.0
Max Lowe,16,0,43,0.0
Joe Whitworth,7,2,39,0.0
Thomas Cannon,8,1,45,0.0
Hannibal Mejbri,13,3,43,0.0
Boubacar Kamara,1,3,50,0.0
Andrey Nascimento dos Santos,6,3,42,0.0
Loris Karius,14,2,39,0.0
Joshua Duffus,4,3,44,0.0
Bart Verbruggen,4,2,44,0.0
Tahith Chong,11,3,47,0.0
Morgan Sanson,1,3,45,0.0
Bernd Leno,9,2,48,0.0
Josh Dasilva,3,3,47,0.0
Harvey Barnes,14,3,62,0.0
Cesare Casadei,6,3,45,0.0
Mateo Kovačić,12,3,47,0.0
John Fleck,16,3,49,0.0
Josh Cullen,5,3,50,0.0
Thomas Strakosha,3,2,39,0.0
Fábio Ferreira Vieira,0,3,54,0.0
Michael Ndiweni,14,1,44,0.0
Cheick Doucouré,7,3,49,0.0
Joe Hodge,19,3,44,0.0
Omari Forson,13,3,44,0.0
Joel Matip,10,0,48,0.0
Callum Scanlon,10,0,39,0.0
Davinson Sánchez,17,0,44,0.0
Craig Dawson,19,0,45,0.0
Toti António Gomes,19,0,44,0.0
Nayef Aguerd,18,0,44,0.0
Diogo Dalot Teixeira,13,0,51,0.0
Amadou Onana,8,3,47,0.0
Adrián San Miguel del Castillo,10,2,39,0.0
Youssef Ramalho Chermiti,8,1,48,0.0
Hwang Ui-jo,15,1,44,0.0
Ben Mee,3,0,48,0.0
Joe Worrall,15,0,43,0.0
Diego Carlos Santos Silva,1,0,44,0.0
Arijanet Muric,5,2,43,0.0
Samuel Bastien,5,3,49,0.0
Ashley Young,8,0,44,0.0
Facundo Buonanotte,4,3,47,0.0
Aaron Cresswell,18,0,42,0.0
Sergio Reguilón,3,0,44,0.0
Morgan Gibbs-White,15,3,57,0.0
Raphaël Varane,13,0,49,0.0
Igor Julio dos Santos de Paulo,4,0,43,0.0
Brandon Williams,13,0,40,0.0
Hugo Lloris,17,2,47,0.0
Orel Mangala,15,3,50,0.0
Noha Lemina,19,3,50,0.0
Frederico Rodrigues de Paula Santos,13,3,50,0.0
Marek Rodák,9,2,39,0.0
Shandon Baptiste,3,3,43,0.0
Michał Karbownik,4,0,40,0.0
Mason Burstow,6,1,45,0.0
André Onana,13,2,48,0.0
Julián Álvarez,12,1,68,0.0
Maxwel Cornet,18,3,52,0.0
Terence Kongolo,9,0,40,0.0
Caoimhin Kelleher,10,2,37,0.0
Ivan Neves Abreu Cavaleiro,9,3,50,0.0
Chris Mepham,2,0,43,0.0
Ameen Al-Dakhil,5,0,38,0.0
Louie Watson,11,3,44,0.0
Julio Enciso,4,3,50,0.0
Bertrand Traoré,1,3,50,0.0
Christopher Nkunku,6,1,74,0.0
Serge Aurier,15,0,45,0.0
Tom Cairney,9,3,49,0.0
Harry Arter,15,3,43,0.0
Alex Matos,6,3,45,0.0
Mohamed Dräger,15,0,40,0.0
Rúnar Alex Rúnarsson,0,2,40,0.0
Scott Carson,12,2,38,0.0
Bénie Traoré,16,1,51,0.0
Jurriën Timber,0,0,46,0.0
Jordan Beyer,5,0,40,0.0
Wes Foderingham,16,2,45,0.0
Lewis Koumas,10,1,45,0.0
Konstantinos Mavropanos,18,0,45,0.0
Diego Manuel Jadon da Silva Moreira,6,3,45,0.0
Odsonne Edouard,7,1,54,0.0
Jamal Lowe,2,3,49,0.0
Owen Dodgson,5,0,40,0.0
Matt Ritchie,14,3,43,0.0
Lyle Foster,5,1,47,0.0
Aaron Ramsey,5,3,50,0.0
Nathan Patterson,8,0,44,0.0
Álvaro Fernández Carreras,13,0,40,0.0
Nathan Redmond,5,3,47,0.0
Deniz Undav,4,1,55,0.0
Sandro Tonali,14,3,52,0.0
Micah Hamilton,12,3,45,0.0
Nathan Fraser,19,1,45,0.0
Keane Lewis-Potter,3,3,47,0.0
Dwight McNeil,8,3,54,0.0
Cameron Peupion,4,3,45,0.0
Moisés Caicedo Corozo,6,3,45,0.0
Jorge Luiz Frello Filho,0,3,53,0.0
Kenny Tete,9,0,44,0.0
Harvey Griffiths,19,3,45,0.0
Darko Churlinov,5,3,44,0.0
Jack Harrison,8,3,55,0.0
Jack Walton,11,2,40,0.0
Timothy Castagne,9,0,45,0.0
Adam Smith,2,0,44,0.0
CJ Egan-Riley,5,0,39,0.0
Romelu Lukaku Bolingoli,6,1,68,0.0
James Garner,8,3,49,0.0
Thiago Emiliano da Silva,6,0,50,0.0
Rob Holding,7,0,43,0.0
Aaron Wan-Bissaka,13,0,44,0.0
James Milner,4,3,48,0.0
Mathias Jorgensen,3,0,43,0.0
Joe White,14,3,45,0.0
Matty Cash,1,0,46,0.0
Glen Rea,11,3,44,0.0
Jaidon Anthony,2,3,49,0.0
Tariq Lamptey,4,0,39,0.0
Joseph Anang,18,2,40,0.0
George Baldock,16,0,38,0.0
Jeff Hendrick,14,3,44,0.0
Mark Gillespie,14,2,39,0.0
Ronnie Stutter,6,1,45,0.0
Nélson Cabral Semedo,19,0,45,0.0
Kevin Mbabu,9,0,40,0.0
Tyrell Malacia,13,0,43,0.0
Hákon Valdimarsson,3,2,40,0.0
Đorđe Petrović,6,2,45,0.0
Andros Townsend,11,3,50,0.0
Chris Richards,7,0,39,0.0
Jordan Henderson,10,3,50,0.0
Daniel Gore,13,3,45,0.0
Kyle Walker,12,0,55,0.0
Jacob Brown,11,1,49,0.0
Vicente Guaita,7,2,44,0.0
Braian Ojeda Rodríguez,15,3,45,0.0
Mason Holgate,16,0,40,0.0
Rodrigo Bentancur,17,3,54,0.0
Michael Olise,7,3,59,0.0
Kalvin Phillips,18,3,47,0.0
Oliver Skipp,17,3,45,0.0
Leander Dendoncker,1,3,49,0.0
Scott McKenna,15,0,44,0.0
Michael Keane,8,0,43,0.0
Sasa Kalajdzic,19,1,49,0.0
Jarrod Bowen,18,3,79,0.0
Matt Turner,15,2,39,0.0
Raheem Sterling,6,3,70,0.0
Kell Watts,14,0,40,0.0
Mads Juel Andersen,11,0,39,0.0
Sergi Canós Tenés,3,3,50,0.0
Ryan Christie,2,3,50,0.0
Yegor Yarmoliuk,3,3,43,0.0
Robert Sánchez,6,2,45,0.0
Gavin Kilkenny,2,3,43,0.0
Armando Broja,9,1,49,0.0
Dominic Solanke,2,1,70,0.0
Chris Wood,15,1,49,0.0
Alex Scott,2,3,49,0.0
Jaden Philogene-Bidace,1,3,45,0.0
Filip Marschall,1,2,40,0.0
Jacob Ramsey,1,3,59,0.0
Emiliano Marcondes,2,3,43,0.0
Steven Benda,9,2,40,0.0
Moussa Diaby,1,3,65,0.0
James Wright,1,2,40,0.0
João Cancelo,12,0,58,0.0
Pau Torres,1,0,46,0.0
Santiago Bueno,19,0,45,0.0
Mohamed Elneny,0,3,44,0.0
Jarrad Branthwaite,8,0,41,0.0
Martin Ødegaard,0,3,84,0.0
Matheus Luiz Nunes,12,3,48,0.0
Luke Harris,9,3,45,0.0
Tom King,19,2,39,0.0
Rúben Gato Alves Dias,12,0,55,0.0
Dan Potts,11,0,39,0.0
Djed Spence,17,0,40,0.0
Luke Thomas,16,0,40,0.0
Emiliano Martínez Romero,1,2,52,0.0
Tomáš Souček,18,3,49,0.0
Ross Barkley,11,3,50,0.0
Gonzalo Montiel,15,0,44,0.0
Giovanni Reyna,15,3,50,0.0
Joško Gvardiol,12,0,48,0.0
Cole Palmer,6,3,59,0.0
Alfie Doughty,11,0,46,0.0
Loïc Mbe Soh,15,0,40,0.0
Jordan Amissah,16,2,39,0.0
Jacob Bruun Larsen,5,3,49,0.0
Norberto Murara Neto,2,2,46,0.0
Jérémy Doku,12,3,65,0.0
Richie Laryea,15,0,45,0.0
Joshua King,9,3,45,0.0
Antonee Robinson,9,0,44,0.0
Raúl Jiménez,9,1,51,0.0
Jonathan Castro Otto,19,0,43,0.0
Hwang Hee-chan,19,3,55,0.0
Willian Borges da Silva,9,3,53,0.0
Rhian Brewster,16,1,49,0.0
Tom Lockyer,11,0,42,0.0
Jordan Pickford,8,2,45,0.0
Michael Olakigbe,3,3,45,0.0
Anis Slimane,16,3,47,0.0
Ryan Fraser,14,3,49,0.0
Anthony Knockaert,9,3,44,0.0
Harry Maguire,13,0,42,0.0
Matheus Santos Carneiro Da Cunha,19,1,58,0.0
Rhys Bennett,13,0,40,0.0
Francisco Jorge Tomás Oliveira,19,3,45,0.0
Ki-Jana Hoever,19,0,40,0.0
Ivan Perišić,17,0,47,0.0
Carlos Henrique Casimiro,13,3,53,0.0
Saša Lukić,9,3,43,0.0
Altay Bayindir,13,2,40,0.0
Adam Webster,4,0,42,0.0
Axel Disasi,6,0,49,0.0
Enock Agyei,5,3,42,0.0
Folarin Balogun,0,1,44,0.0
Tyrone Mings,1,0,41,0.0
Nicolás Domínguez,15,3,50,0.0
