name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,mng_clean_sheets,mng_draw,mng_goals_scored,mng_loss,mng_underdog_draw,mng_underdog_win,mng_win,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
Aaron Anselmino,DEF,Chelsea,0.5,0,0,0,0,0.0,774,0.00,0.00,0.00,0.00,296,0,0,0.0,0.0,2025-04-03T19:00:00Z,0,0,0,0,0,0,0,0,False,18,0,0,0,0,30,0,442,0,,,0.0,0,6,30,24,40,True,0
Aaron Cresswell,DEF,West Ham,1.0,0,0,13,0,0.8,517,0.00,0.00,0.00,0.35,295,1,0,1.9,18.4,2025-04-01T18:45:00Z,45,0,0,0,0,0,0,0,False,20,0,0,0,0,30,0,237562,1,0,1,0.0,1,-5190,12261,17451,39,False,0
Aaron Hickey,DEF,Brentford,0.0,0,0,0,0,0.0,93,0.00,0.00,0.00,0.00,299,0,0,0.0,0.0,2025-04-02T18:45:00Z,0,0,0,0,0,0,0,0,False,15,0,0,0,0,30,0,1287,0,,,0.0,0,-3,16,19,43,False,0
Aaron Ramsdale,GK,Southampton,0.5,0,0,0,0,0.0,14,0.00,0.00,0.00,0.00,300,0,0,0.0,0.0,2025-04-02T18:45:00Z,0,0,0,0,0,0,0,0,False,7,0,0,0,0,30,0,132744,0,,,0.0,0,-6284,1314,7598,44,True,0
Aaron Wan-Bissaka,DEF,West Ham,2.0,0,0,15,0,16.8,388,0.14,0.14,0.00,0.89,295,1,0,5.4,33.0,2025-04-01T18:45:00Z,90,0,0,0,0,0,0,0,False,20,0,0,0,0,30,0,745339,1,0,1,4.0,2,-11586,52272,63858,45,False,0
Abdoulaye Doucouré,MID,Everton,0.3,0,0,0,0,0.0,217,0.00,0.00,0.00,0.00,297,0,0,0.0,0.0,2025-04-02T19:00:00Z,0,0,0,0,0,0,0,0,False,12,0,0,0,0,30,0,46855,0,,,0.0,0,-11862,751,12613,51,False,0
Abdukodir Khusanov,DEF,Man City,0.8,0,0,0,0,0.0,732,0.00,0.00,0.00,0.00,298,0,0,0.0,0.0,2025-04-02T18:45:00Z,0,0,0,0,0,0,0,0,False,11,0,0,0,0,30,0,78888,0,,,0.0,0,8198,21006,12808,50,True,0
Abdul Fatawu,MID,Leicester,0.0,0,0,0,0,0.0,570,0.00,0.00,0.00,0.00,298,0,0,0.0,0.0,2025-04-02T18:45:00Z,0,0,0,0,0,0,0,0,False,13,0,0,0,0,30,0,19235,0,,,0.0,0,-49,70,119,51,False,0
Adama Traoré,MID,Fulham,0.5,0,0,5,0,2.3,239,0.01,0.07,0.06,1.25,291,1,0,0.7,0.2,2025-04-01T18:45:00Z,66,0,0,0,0,0,0,0,False,1,0,0,0,0,30,0,171171,1,1,2,4.0,2,-5925,3034,8959,46,False,0
Adam Armstrong,FWD,Southampton,0.0,0,0,0,0,0.0,453,0.00,0.00,0.00,0.00,300,0,0,0.0,0.0,2025-04-02T18:45:00Z,0,0,0,0,0,0,0,0,False,7,0,0,0,0,30,0,63187,0,,,0.0,0,-2596,0,2596,51,True,0
Adam Lallana,MID,Southampton,-0.2,0,0,0,0,0.0,463,0.00,0.00,0.00,0.00,300,0,0,0.0,0.0,2025-04-02T18:45:00Z,0,0,0,0,0,0,0,0,False,7,0,0,0,0,30,0,2885,0,,,0.0,0,-27,29,56,50,True,0
Adam Smith,DEF,Bournemouth,0.5,0,0,0,0,0.0,81,0.00,0.00,0.00,0.00,292,0,0,0.0,0.0,2025-04-02T18:45:00Z,0,0,0,0,0,0,0,0,False,10,0,0,0,0,30,0,13457,0,,,0.0,0,-38,134,172,44,True,0
Adam Webster,DEF,Brighton,0.0,0,0,0,0,0.0,147,0.00,0.00,0.00,0.00,293,0,0,0.0,0.0,2025-04-02T18:45:00Z,0,0,0,0,0,0,0,0,False,2,0,0,0,0,30,0,12805,0,,,0.0,0,-1275,611,1886,43,True,0
Adam Wharton,MID,Crystal Palace,1.5,0,0,0,0,0.0,216,0.00,0.00,0.00,0.00,300,0,0,0.0,0.0,2025-04-02T18:45:00Z,0,0,0,0,0,0,0,0,False,17,0,0,0,0,30,0,16411,0,,,0.0,0,287,518,231,47,False,0
Adrian Mazilu,MID,Brighton,0.0,0,0,0,0,0.0,133,0.00,0.00,0.00,0.00,293,0,0,0.0,0.0,2025-04-02T18:45:00Z,0,0,0,0,0,0,0,0,False,2,0,0,0,0,30,0,1241,0,,,0.0,0,-4,0,4,45,True,0
Albert Grønbæk,MID,Southampton,0.5,0,0,0,0,0.0,734,0.00,0.00,0.00,0.00,300,0,0,0.0,0.0,2025-04-02T18:45:00Z,0,0,0,0,0,0,0,0,False,7,0,0,0,0,30,0,515,0,,,0.0,0,-144,17,161,49,True,0
Alejandro Garnacho,MID,Man Utd,4.2,0,0,8,0,56.3,372,0.18,0.37,0.19,0.54,294,1,0,9.2,7.4,2025-04-01T19:00:00Z,90,0,0,0,0,0,0,0,False,16,0,0,0,0,30,0,556702,1,0,1,28.0,1,-6374,8967,15341,59,False,1
Alejo Véliz,FWD,Spurs,0.0,0,0,0,0,0.0,507,0.00,0.00,0.00,0.00,296,0,0,0.0,0.0,2025-04-03T19:00:00Z,0,0,0,0,0,0,0,0,False,6,0,0,0,0,30,0,569,0,,,0.0,0,0,0,0,50,False,0
Alexander Isak,FWD,Newcastle,1.5,0,0,0,0,0.0,401,0.00,0.00,0.00,0.00,299,0,0,0.0,0.0,2025-04-02T18:45:00Z,0,0,0,0,0,0,0,0,False,4,0,0,0,0,30,0,6627244,0,,,0.0,0,761543,788610,27067,94,True,0
Alexis Mac Allister,MID,Liverpool,1.5,0,0,0,0,0.0,329,0.00,0.00,0.00,0.00,297,0,0,0.0,0.0,2025-04-02T19:00:00Z,0,0,0,0,0,0,0,0,False,8,0,0,0,0,30,0,189044,0,,,0.0,0,-1371,3634,5005,62,True,0
Alex Iwobi,MID,Fulham,2.5,0,0,9,0,11.1,247,0.54,0.54,0.00,1.06,291,1,0,1.8,4.4,2025-04-01T18:45:00Z,23,0,0,0,0,0,0,0,False,1,0,0,0,0,30,0,503346,0,1,2,2.0,1,-47063,11220,58283,56,False,0
Alex McCarthy,GK,Southampton,-0.5,0,0,0,0,0.0,469,0.00,0.00,0.00,0.00,300,0,0,0.0,0.0,2025-04-02T18:45:00Z,0,0,0,0,0,0,0,0,False,7,0,0,0,0,30,0,15448,0,,,0.0,0,-215,70,285,42,True,0
