id,xP
1,0.0
2,0.0
3,3.2
4,0.0
5,0.0
6,7.5
7,0.5
8,1.2
9,3.5
12,3.2
13,3.8
15,4.2
16,5.2
17,3.2
18,4.8
20,2.5
21,1.2
22,0.0
23,2.2
24,0.5
25,0.5
73,0.5
186,0.5
578,0.0
597,2.5
633,7.5
638,0.5
639,0.5
657,0.0
659,0.5
662,0.5
665,0.5
735,7.5
756,0.5
790,1.7
28,0.1
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,3.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.5
43,0.0
44,3.5
45,0.0
46,0.0
47,0.0
48,1.0
49,4.0
50,0.0
51,3.5
52,0.0
53,3.0
54,1.5
55,0.0
56,0.0
57,1.5
58,4.5
167,3.0
233,0.0
385,0.5
598,0.0
640,0.0
641,0.0
656,0.0
679,0.0
710,0.0
725,0.5
731,0.0
737,4.5
762,0.0
59,0.0
60,1.8
61,0.0
62,1.2
63,1.8
64,1.8
65,0.0
66,0.0
67,0.0
68,0.8
69,0.8
70,3.2
71,2.1
72,0.0
74,1.2
75,0.0
76,0.0
77,0.8
78,1.2
79,0.5
80,0.0
81,0.5
83,0.0
84,0.0
85,0.8
152,1.2
580,0.8
592,0.5
599,0.5
617,3.8
680,0.5
687,0.5
702,0.5
707,0.5
712,0.5
713,0.5
722,0.5
723,0.5
727,0.5
728,0.5
738,2.5
86,0.5
87,-0.5
88,0.5
89,0.8
90,0.0
91,1.5
92,0.0
93,0.0
94,0.2
95,0.0
96,-0.2
97,-0.2
98,0.8
99,2.2
100,-0.2
101,3.5
102,0.0
103,0.0
104,0.8
105,0.0
106,0.8
107,0.0
108,0.0
109,-0.5
110,2.8
111,-0.2
112,0.0
314,0.0
338,-0.2
602,0.0
634,-0.5
649,0.0
661,0.0
674,-0.5
705,-0.5
752,2.2
757,-0.5
759,-0.5
780,-0.5
786,-0.5
113,0.7
114,0.0
115,1.0
116,0.0
118,0.0
119,0.0
120,0.0
122,3.0
124,0.0
125,0.0
126,2.3
127,0.0
128,0.0
129,3.3
130,0.0
131,0.0
132,0.2
133,0.0
134,0.0
135,1.3
136,1.0
137,0.0
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,3.3
145,0.0
146,0.7
147,0.0
148,0.7
149,0.2
595,0.3
600,2.0
601,0.0
615,0.0
618,0.0
628,0.0
629,0.0
663,0.0
668,0.0
681,0.0
685,0.0
714,1.0
739,4.3
758,0.0
763,0.0
150,0.0
151,0.0
153,1.2
154,0.5
155,0.5
157,2.5
158,0.0
159,0.8
161,0.0
162,2.8
163,6.2
164,0.0
165,0.0
166,0.8
168,3.2
169,0.0
170,0.0
171,0.8
172,1.2
173,0.0
174,0.8
175,0.0
176,0.0
177,0.2
178,0.2
179,0.0
180,0.2
181,2.2
182,0.6
183,0.0
184,0.0
185,4.5
187,3.2
189,2.8
386,2.2
560,1.8
