id,name,short_name,created,closed,rank,max_entries,league_type,scoring,admin_entry,start_event,entry_can_leave,entry_can_admin,entry_can_invite,has_cup,cup_league,cup_qualified,rank_count,entry_percentile_rank,active_phases,entry_rank,entry_last_rank
18,Spurs,team-18,2024-07-17T11:51:46.374836Z,False,,,s,c,,1,False,False,False,True,2473939.0,True,416506,5,"[{'phase': 1, 'rank': 8795, 'last_rank': 9584, 'rank_sort': 8795, 'total': 1546, 'league_id': 18, 'rank_count': 416506, 'entry_percentile_rank': 5}, {'phase': 8, 'rank': 59745, 'last_rank': 0, 'rank_sort': 59753, 'total': 91, 'league_id': 18, 'rank_count': 416506, 'entry_percentile_rank': 15}]",8795,9584
124,Ireland,region-104,2024-07-17T11:51:47.183710Z,False,,,s,c,,1,False,False,False,True,2473931.0,True,313246,5,"[{'phase': 1, 'rank': 9464, 'last_rank': 10405, 'rank_sort': 9465, 'total': 1546, 'league_id': 124, 'rank_count': 313246, 'entry_percentile_rank': 5}, {'phase': 8, 'rank': 49679, 'last_rank': 0, 'rank_sort': 49688, 'total': 91, 'league_id': 124, 'rank_count': 313246, 'entry_percentile_rank': 20}]",9464,10405
276,Gameweek 1,event-1,2024-07-17T11:51:48.316462Z,False,,,s,c,,1,False,False,False,False,,,8576753,5,"[{'phase': 1, 'rank': 290708, 'last_rank': 324735, 'rank_sort': 290721, 'total': 1546, 'league_id': 276, 'rank_count': 8576753, 'entry_percentile_rank': 5}, {'phase': 8, 'rank': 1386893, 'last_rank': 0, 'rank_sort': 1387081, 'total': 91, 'league_id': 276, 'rank_count': 8576750, 'entry_percentile_rank': 20}]",290708,324735
314,Overall,overall,2024-07-17T11:51:48.594925Z,False,,,s,c,,1,False,False,False,True,2421396.0,True,11217091,5,"[{'phase': 1, 'rank': 291224, 'last_rank': 325356, 'rank_sort': 291237, 'total': 1546, 'league_id': 314, 'rank_count': 11217091, 'entry_percentile_rank': 5}, {'phase': 8, 'rank': 1517563, 'last_rank': 0, 'rank_sort': 1517751, 'total': 91, 'league_id': 314, 'rank_count': 11217090, 'entry_percentile_rank': 15}]",291224,325356
321,Second Chance,sc,2024-07-17T11:51:48.646333Z,False,,,s,c,,21,False,False,False,False,,,11217092,15,"[{'phase': 1, 'rank': 1314596, 'last_rank': 2386214, 'rank_sort': 1314645, 'total': 271, 'league_id': 321, 'rank_count': 11217092, 'entry_percentile_rank': 15}, {'phase': 8, 'rank': 1517563, 'last_rank': 0, 'rank_sort': 1517751, 'total': 91, 'league_id': 321, 'rank_count': 11217090, 'entry_percentile_rank': 15}]",1314596,2386214
1194,youtube.com/letstalkfpl 📽️,,2024-07-17T13:32:58.932145Z,False,,,x,c,24.0,1,False,False,False,True,2498395.0,True,126564,15,"[{'phase': 1, 'rank': 18963, 'last_rank': 20055, 'rank_sort': 18967, 'total': 1546, 'league_id': 1194, 'rank_count': 126564, 'entry_percentile_rank': 15}, {'phase': 8, 'rank': 39981, 'last_rank': 0, 'rank_sort': 40043, 'total': 91, 'league_id': 1194, 'rank_count': 126564, 'entry_percentile_rank': 35}]",18963,20055
12077,GIANNI BUTTICÈ YOUTUBE,,2024-07-17T13:47:41.850235Z,False,,,x,c,7685.0,1,True,False,False,True,,,7609,20,"[{'phase': 1, 'rank': 1519, 'last_rank': 1577, 'rank_sort': 1519, 'total': 1546, 'league_id': 12077, 'rank_count': 7609, 'entry_percentile_rank': 20}, {'phase': 8, 'rank': 2726, 'last_rank': 0, 'rank_sort': 2729, 'total': 91, 'league_id': 12077, 'rank_count': 7609, 'entry_percentile_rank': 40}]",1519,1577
12098,Gianni OLD league Join: m7ueo5,,2024-07-17T13:47:43.741184Z,False,,,x,c,7685.0,1,True,False,False,True,,,468,20,"[{'phase': 1, 'rank': 89, 'last_rank': 96, 'rank_sort': 89, 'total': 1546, 'league_id': 12098, 'rank_count': 468, 'entry_percentile_rank': 20}, {'phase': 8, 'rank': 167, 'last_rank': 0, 'rank_sort': 167, 'total': 91, 'league_id': 12098, 'rank_count': 468, 'entry_percentile_rank': 40}]",89,96
19258,FPL BlackBox,,2024-07-17T13:57:45.667591Z,False,,,x,c,45957.0,1,True,False,False,True,,,15267,25,"[{'phase': 1, 'rank': 3498, 'last_rank': 3693, 'rank_sort': 3498, 'total': 1546, 'league_id': 19258, 'rank_count': 15267, 'entry_percentile_rank': 25}, {'phase': 8, 'rank': 5642, 'last_rank': 0, 'rank_sort': 5658, 'total': 91, 'league_id': 19258, 'rank_count': 15267, 'entry_percentile_rank': 40}]",3498,3693
24650,SimplyFPL,,2024-07-17T14:06:19.409646Z,False,,,x,c,94073.0,1,True,False,False,True,,,10666,15,"[{'phase': 1, 'rank': 1508, 'last_rank': 1612, 'rank_sort': 1508, 'total': 1546, 'league_id': 24650, 'rank_count': 10666, 'entry_percentile_rank': 15}, {'phase': 8, 'rank': 3411, 'last_rank': 0, 'rank_sort': 3414, 'total': 91, 'league_id': 24650, 'rank_count': 10666, 'entry_percentile_rank': 35}]",1508,1612
