event,points,total_points,rank,rank_sort,overall_rank,percentile_rank,bank,value,event_transfers,event_transfers_cost,points_on_bench
1,71,71,1216977,1217466,1216977,15,0,1000,0,0,1
2,75,146,3465390,3465761,1451656,40,0,1001,0,0,3
3,73,219,3293686,3293840,1588565,35,0,1004,2,0,8
4,34,253,9184672,9184781,3368949,95,0,1005,0,0,0
5,68,321,2207564,2207980,2694846,25,0,1007,0,0,1
6,47,368,5635455,5635666,3085557,55,13,1007,0,0,3
7,60,428,1316792,1317070,2082683,15,13,1013,0,0,1
8,32,460,6953120,6953249,2518989,70,9,1014,2,0,13
9,63,523,2727768,2728005,2244686,30,13,1016,2,0,3
10,56,579,831369,831502,1537285,10,18,1016,2,0,10
11,52,631,4265072,4265265,1652729,40,18,1021,0,0,7
12,76,707,478214,478299,956425,5,26,1022,2,0,0
13,64,771,4324065,4324174,1135267,45,26,1024,0,0,1
14,72,843,2003658,2003747,957803,20,4,1019,2,0,2
15,66,909,1546332,1546603,701648,15,4,1019,0,0,0
16,64,973,919323,919419,498526,10,5,1021,1,0,8
17,92,1065,731231,731326,340796,10,3,1018,2,0,22
18,77,1142,270871,270896,219920,5,3,1023,0,0,5
19,70,1212,4778201,4778429,290001,45,2,1025,1,0,7
20,63,1275,4695353,4695526,327517,45,1,1028,2,0,3
21,62,1337,3850484,3850681,395466,35,1,1031,0,0,4
22,46,1383,5101490,5101932,413042,50,1,1032,0,0,1
23,72,1455,1508101,1508323,325356,15,0,1032,1,0,13
24,91,1546,1517565,1517753,291224,15,7,1032,2,0,5
